Title,Servings,Ready in (minutes),Source URL,Image,Calories,Carbs (g),Fat (g),Protein (g)
How to make the World’s Greatest Lasagna Roll Ups,18,110,https://www.pinkwhen.com/worlds-greatest-lasagna-roll-ups-recipe/,https://img.spoonacular.com/recipes/1054737-556x370.jpg,424.14,16.02,6.84,46.77
Creamy Mushrooms Over Soba Noodles (Vegan),4,45,https://www.foodista.com/recipe/FJXT4TLQ/creamy-mushrooms-over-soba-noodles-vegan,https://img.spoonacular.com/recipes/640666-556x370.jpg,587.32,23.55,13.67,78.23
Enchiladas Verdes (Green Enchiladas),6,45,https://www.foodista.com/recipe/XXGS8CCC/enchiladas-verdes-green-enchiladas,https://img.spoonacular.com/recipes/642403-556x370.jpg,471.08,20.34,8.34,43.28
Ethiopian Lentil Curry,6,75,https://www.foodista.com/recipe/VND4VYMV/ethiopian-lentil-curry,https://img.spoonacular.com/recipes/642468-556x370.jpg,284.63,6.37,1.18,44.5
Monte Cristo Egg Rolls,6,45,https://www.foodista.com/recipe/WBB6376N/monte-cristo-egg-rolls,https://img.spoonacular.com/recipes/652354-556x370.jpg,168.09,5.29,2.44,21.84
Lemon Mint Sorbet,8,45,https://www.foodista.com/recipe/QYVS2GXL/lemon-mint-sorbet,https://img.spoonacular.com/recipes/649690-556x370.jpg,263.12,0.36,0.04,60.3
Cheddar Polenta With Bacon Wrapped Asparagus,1,45,https://www.foodista.com/recipe/SH7X54WY/cheddar-polenta-with-bacon-wrapped-asparagus,https://img.spoonacular.com/recipes/637516-556x370.jpg,492.58,28.25,11.44,41.29
Torta (Filipino Omelet),8,45,https://www.foodista.com/recipe/DFP52247/torta-filipino-omelet,https://img.spoonacular.com/recipes/663680-556x370.jpg,174.2,10.1,2.1,15.0
Hot Artichoke Crab Dip,4,45,https://www.foodista.com/recipe/QKLVNNXS/crab-artichoke-dip-hot,https://img.spoonacular.com/recipes/647395-556x370.jpg,837.06,79.04,27.93,15.61
My Asian Fried Fish Fillet,6,45,https://www.foodista.com/recipe/V6GQ2MPP/my-asian-fried-fish-fillet,https://img.spoonacular.com/recipes/652824-556x370.jpg,354.62,3.5,1.03,59.66
Carrot Cake Snack Bites,20,45,https://www.foodista.com/recipe/Z4DBX47V/carrot-cake-snack-bites,https://img.spoonacular.com/recipes/637187-556x370.jpg,69.7,4.57,1.13,7.11
Mashed Sweet Potatoes,8,45,https://www.foodista.com/recipe/3LDY5QVP/mashed-sweet-potatoes,https://img.spoonacular.com/recipes/651232-556x370.jpg,356.91,8.59,5.4,66.48
Kolaches,48,45,https://www.foodista.com/recipe/4KCQQTMJ/kolaches,https://img.spoonacular.com/recipes/649012-556x370.jpg,112.69,6.6,3.24,12.37
Apple Walnut Brownies,10,75,https://www.foodista.com/recipe/N6KNP37Q/apple-walnut-brownies,https://img.spoonacular.com/recipes/632611-556x370.jpg,402.49,33.41,18.26,26.65
Blackberry Pie Cobbler,8,45,https://www.foodista.com/recipe/WQ724SLW/blackberry-pie-cobbler,https://img.spoonacular.com/recipes/635233-556x370.jpg,473.31,20.54,7.21,67.17
Vegan Dirty Chai Pudding,6,45,https://www.foodista.com/recipe/LF744JQH/vegan-dirty-chai-espresso-pudding,https://img.spoonacular.com/recipes/664429-556x370.jpg,424.44,24.22,4.71,52.02
Strawberry Pretzel Salad,4,45,https://www.foodista.com/recipe/FRDJ8XX7/strawberry-pretzel-salad,https://img.spoonacular.com/recipes/661864-556x370.jpg,383.62,31.32,6.32,20.15
Grilled Peach Melba with Vanilla Bean Frozen Yogurt,4,45,https://fullbellysisters.blogspot.com/2012/06/grilled-peach-melba-with-vanilla-bean.html,https://img.spoonacular.com/recipes/716421-556x370.jpg,377.27,15.15,11.74,48.6
"Pb, Banana, Chocolate Chip Muffins",24,45,https://www.foodista.com/recipe/LWM6RFFT/pb-banana-chocolate-chip-muffins,https://img.spoonacular.com/recipes/655046-556x370.jpg,234.68,9.09,2.82,35.27
Delicious Limeade Triple Berry Smoothies,2,10,https://www.pinkwhen.com/triple-berry-limeade-smoothies/,https://img.spoonacular.com/recipes/704655-556x370.jpg,258.25,4.35,0.33,51.19
Cheesy Chicken and Rice Casserole,6,60,https://www.pinkwhen.com/cheesy-chicken-and-rice-casserole-bake/,https://img.spoonacular.com/recipes/715397-556x370.jpg,464.4,27.95,15.01,21.35
Hot Pepper Pumpkin Soup,4,45,https://www.foodista.com/recipe/YX3L4PH4/hot-pepper-pumpkin-soup,https://img.spoonacular.com/recipes/647501-556x370.jpg,246.16,14.37,9.05,29.55
Tex-Mex Burger,4,15,https://www.foodista.com/recipe/NSYCCHLT/tex-mex-burger,https://img.spoonacular.com/recipes/663050-556x370.jpg,884.46,61.3,22.92,32.26
Classic Vanilla-Orange Sugar Cookies,24,45,http://www.foodista.com/recipe/MTC5387V/classic-vanilla-orange-sugar-cookies,https://img.spoonacular.com/recipes/639644-556x370.jpg,221.11,12.71,7.69,24.23
Liz's Lomo Saltado,4,45,https://www.foodista.com/recipe/BD7L33QN/lizs-lomo-saltado,https://img.spoonacular.com/recipes/650225-556x370.jpg,41.66,0.37,0.07,8.06
Carrot Cake Pancakes,12,45,https://www.foodista.com/recipe/34VPQ5DQ/carrot-cake-pancakes,https://img.spoonacular.com/recipes/637184-556x370.jpg,142.77,5.44,3.11,21.15
Classic Wedge Salad,4,45,https://www.foodista.com/recipe/65Q8HRP7/classic-wedge-salad,https://img.spoonacular.com/recipes/639646-556x370.jpg,449.61,42.15,10.39,7.46
"Impossible"" Coconut Pie",10,45,https://www.foodista.com/recipe/CBTKCKX4/impossible-coconut-pie,https://img.spoonacular.com/recipes/631785-556x370.jpg,305.7,15.76,11.37,39.21
Simply Bean Soup,1,45,https://www.foodista.com/recipe/55R4S8RW/simply-bean-soup,https://img.spoonacular.com/recipes/660161-556x370.jpg,568.35,24.67,14.63,28.55
Boiled Egg Curry,2,45,https://www.foodista.com/recipe/64SQ5YPT/boiled-egg-curry,https://img.spoonacular.com/recipes/635601-556x370.jpg,514.96,39.95,5.5,25.49
Cheesy Cauliflower,6,45,https://www.foodista.com/recipe/DY78S8G3/cheesy-cauliflower,https://img.spoonacular.com/recipes/637638-556x370.jpg,226.63,14.69,8.3,13.26
Strawberry Shortcake Pancakes,2,45,https://www.foodista.com/recipe/5F7L7ZLS/strawberry-shortcake-pancakes,https://img.spoonacular.com/recipes/661886-556x370.jpg,424.94,6.77,3.67,69.22
Pesto & Yogurt Pasta,4,45,https://www.foodista.com/recipe/Z4QRF6N7/pesto-yogurt-pasta,https://img.spoonacular.com/recipes/655806-556x370.jpg,373.11,14.66,2.9,48.64
Ginger-Lemon Panna Cotta with Brandied Berry Sauce,6,45,https://www.foodista.com/recipe/FZ6BNS2C/ginger-lemon-panna-cotta-with-brandied-berry-sauce,https://img.spoonacular.com/recipes/644666-556x370.,413.27,25.79,14.12,37.86
Healthy Vegan Red Velvet Brownies,8,45,http://www.foodista.com/recipe/YGBD7J2L/healthy-vegan-red-velvet-brownies,https://img.spoonacular.com/recipes/646524-556x370.jpg,181.43,5.09,0.82,33.16
Spicy Chicken Corn Dogs with Homemade Chili Sauce,8,45,https://www.foodista.com/recipe/VVLHPBNS/spicy-chicken-corn-dogs-with-homemade-chili-sauce,https://img.spoonacular.com/recipes/661048-556x370.,554.94,38.35,4.24,42.38
Coconut Almond Cheesecake,8,45,https://www.foodista.com/recipe/LVJ2N25Q/coconut-almond-cheesecake,https://img.spoonacular.com/recipes/639714-556x370.jpg,963.27,64.24,33.58,85.74
I Like My Peas with Pancetta,4,45,https://www.foodista.com/recipe/WNFHRD2N/i-like-my-peas-with-pancetta,https://img.spoonacular.com/recipes/647698-556x370.jpg,406.1,35.64,10.1,14.55
Moroccan chickpea and lentil stew,3,30,https://www.foodista.com/recipe/C6DXLHJH/moroccan-chickpea-and-lentil-stew,https://img.spoonacular.com/recipes/652417-556x370.jpg,465.29,7.26,0.93,82.4
"Fall Farro Salad with Pomegranate, Walnut & Truffles",4,75,https://www.foodista.com/recipe/W4B5S88Y/fall-farro-salad-with-pomegranate-walnut-truffles,https://img.spoonacular.com/recipes/642556-556x370.jpg,722.36,46.53,9.48,60.66
Garlic Lime Grilled Chicken Salad,4,30,https://www.foodista.com/recipe/2HFYQSNY/garlic-lime-grilled-chicken-salad,https://img.spoonacular.com/recipes/644306-556x370.jpg,435.8,12.84,2.31,38.64
Ricotta Orange Pound Cake With Amaretto Strawberries,8,45,https://www.foodista.com/recipe/LH8243ND/ricotta-orange-pound-cake-with-amaretto-strawberries,https://img.spoonacular.com/recipes/658339-556x370.jpg,438.62,31.08,18.9,27.76
"Guf"" Danish Ice Cream Topping",4,45,https://www.foodista.com/recipe/LQY3DTZD/guf-danish-ice-cream-topping,https://img.spoonacular.com/recipes/631781-556x370.jpg,70.76,0.14,0.01,16.17
Peach Crostata,6,45,https://www.foodista.com/recipe/JYSCXTQS/peach-crostata,https://img.spoonacular.com/recipes/655103-556x370.png,415.59,17.63,8.25,59.7
Excellent No Fail and Easy Keto Zucchini Lasagna,6,60,https://www.pinkwhen.com/excellent-no-fail-and-easy-keto-zucchini-lasagna-recipe/,https://img.spoonacular.com/recipes/1046983-556x370.jpg,522.5,26.36,14.83,21.29
Spaghetti With Pesto Trapanese,6,45,https://www.foodista.com/recipe/VWV2WXBJ/spaghetti-with-pesto-trapanese,https://img.spoonacular.com/recipes/660835-556x370.jpg,432.8,14.82,1.53,62.15
Cod with Tomato-Olive-Chorizo Sauce and Mashed Potatoes,2,45,https://www.foodista.com/recipe/GNSQNH5W/cod-with-tomatoes-olives-and-chorizo,https://img.spoonacular.com/recipes/639851-556x370.jpg,733.32,40.41,8.46,37.09
"Farfalle With Broccoli, Carrots and Tomatoes",8,45,https://www.foodista.com/recipe/YV88GS5Z/farfalle-with-broccoli-carrots-and-tomatoes,https://img.spoonacular.com/recipes/642582-556x370.jpg,308.57,7.72,2.82,46.88
Vegetarian Ratatouille,6,45,https://www.foodista.com/recipe/QP3VM3Y2/vegetarian-ratatouille,https://img.spoonacular.com/recipes/664689-556x370.jpg,95.73,5.16,0.75,12.12
Raw Carrot Cake,6,45,https://www.foodista.com/recipe/Y84YSBRR/raw-carrot-cake,https://img.spoonacular.com/recipes/657968-556x370.jpg,482.89,27.97,9.49,57.66
Party Sausage Bites With Pine Nuts,48,45,https://www.foodista.com/recipe/GKGJXZCD/party-sausage-bites-with-pine-nuts,https://img.spoonacular.com/recipes/654738-556x370.jpg,72.35,5.82,1.88,3.1
Gingerbread,24,45,https://www.foodista.com/recipe/76DG8T7W/gingerbread,https://img.spoonacular.com/recipes/644674-556x370.jpg,167.66,10.46,3.66,16.95
Roma Tomato Bruschetta,4,45,https://www.foodista.com/recipe/M3RH6LBH/roma-tomato-bruschetta,https://img.spoonacular.com/recipes/658753-556x370.jpg,445.71,16.9,2.54,62.82
Double Chocolate Milo Pancakes,2,45,https://www.afrolems.com/2016/02/08/double-chocolate-milo-pancakes/,https://img.spoonacular.com/recipes/716293-556x370.jpg,487.83,26.15,9.04,54.09
Chouquettes,8,45,https://www.foodista.com/recipe/2GQQPNFR/chouquettes,https://img.spoonacular.com/recipes/639333-556x370.jpg,174.2,10.76,6.11,14.18
"Cannellini Bean Side Dish With Fennel, Red Onion, and Saffron",6,45,https://www.foodista.com/recipe/ML5WHHCX/cannellini-beans-with-fennel-red-onion-and-saffron,https://img.spoonacular.com/recipes/636901-556x370.jpg,106.97,2.38,0.34,19.02
Braid sweet citrus flavored licorice,4,45,https://www.foodista.com/recipe/6W3CR35X/braid-sweet-citrus-flavored-licorice,https://img.spoonacular.com/recipes/635786-556x370.jpg,768.78,51.37,14.72,69.63
Red Lentil Soup with Chicken and Turnips,8,55,https://www.pinkwhen.com/red-lentil-soup-with-chicken-and-turnips/,https://img.spoonacular.com/recipes/715415-556x370.jpg,477.24,20.34,3.1,51.78
Chocolate Banana Zucchini Cake,8,45,https://www.foodista.com/recipe/8C44JSRP/chocolate-banana-zucchini-cake,https://img.spoonacular.com/recipes/638831-556x370.jpg,560.68,20.97,14.72,89.22
Kenyan Pilau,4,45,https://www.afrolems.com/2014/08/19/kenyan-pilau-recipe/,https://img.spoonacular.com/recipes/716344-556x370.jpg,475.22,4.69,0.95,64.55
Caramel Apple-Brownie Cheesecake,8,45,https://www.foodista.com/recipe/GL53TRMC/caramel-apple-brownie-cheesecake,https://img.spoonacular.com/recipes/636989-556x370.jpg,502.85,30.57,16.68,51.38
Chicken 65,6,45,https://www.foodista.com/recipe/G4XPLKBW/chicken-65-chicken-marinaded-in-traditional-indian-spices-and-deep-fried,https://img.spoonacular.com/recipes/637876-556x370.jpg,120.9,2.78,0.79,4.44
Green Beans with Garlic Chips,4,45,http://www.foodista.com/recipe/4D3H7QM3/green-beans-with-garlic-chips,https://img.spoonacular.com/recipes/645416-556x370.jpg,177.96,13.08,4.65,14.6
Authentic Bolognese Sauce,8,45,https://www.foodista.com/recipe/TV5C22MQ/authentic-bolognese-sauce,https://img.spoonacular.com/recipes/633068-556x370.jpg,475.81,35.1,12.18,7.64
Chinese Steamed Flan,6,45,https://www.foodista.com/recipe/GNDGXPZK/chinese-steamed-flan,https://img.spoonacular.com/recipes/638717-556x370.jpg,251.51,6.29,2.58,42.85
Ancho Chipotle Chili,2,75,https://spoonacular.com/-1409557476964,https://img.spoonacular.com/recipes/610281-556x370.jpg,697.53,42.69,15.78,40.64
Not Momofuku Ginger Scallion Noodles,4,45,https://www.foodista.com/recipe/6W333DRL/not-momofuku-ginger-scallion-noodles,https://img.spoonacular.com/recipes/653304-556x370.jpg,446.09,15.11,1.68,71.2
Damn Good Corn Pudding ~from 12 Bones Smokehouse,10,45,https://www.foodista.com/recipe/6P65X54W/damn-good-corn-pudding-from-12-bones-smokehouse,https://img.spoonacular.com/recipes/641223-556x370.jpg,459.8,29.82,17.81,43.67
Green Chile & Corn Casserole Side Dish,10,35,https://www.foodista.com/recipe/BVN64SGP/green-chile-corn-casserole,https://img.spoonacular.com/recipes/645427-556x370.jpg,182.86,12.35,6.53,13.46
Paneer Makhani,4,45,https://www.foodista.com/recipe/ZVKR6J5M/paneer-makhani,https://img.spoonacular.com/recipes/654534-556x370.jpg,185.66,14.42,7.88,7.78
Quinoa Salad with Barberries & Nuts,4,30,https://www.foodista.com/recipe/PBQJCDDG/quinoa-salad-with-barberries-nuts,https://img.spoonacular.com/recipes/1098387-556x370.jpg,458.61,18.73,2.09,59.7
